Gene,PFASdil17,PFASdil31,PFASdil50,PFASdil56,PFASdil4,PFASdil63,PFASdil84,PFASdil86,PFASdil7,PFASdil9,PFASdil24,PFASdil93,PFASdil1,PFASdil57,PFASdil72,PFASdil87,PFASdil13,PFASdil34,PFASdil45,PFASdil74,PFASdil40,PFASdil61,PFASdil90,PFASdil91,PFASdil10,PFASdil38,PFASdil39,PFASdil70,PFASdil16,PFASdil80,PFASdil95,PFASdil96
Gm2a,2591.810563,2542.259516,2570.775965,2746.542138,3450.140973,4487.357874,3728.893234,3509.225188,2525.642286,2418.680871,2205.502429,2308.335344,4109.699017,3360.281175,4532.20621,4313.407606,2207.31207,3059.765175,2530.870165,2205.381872,3123.83877,2840.553988,3610.709591,3798.333704,1957.579792,1734.633694,1734.256391,1814.696718,4504.860972,4127.724865,5062.405176,3256.990479
Gmds,15.82785077,25.18011993,21.32958224,29.28083302,44.15171263,43.07695454,25.40118007,35.64675699,23.46378935,19.29541979,27.24043582,25.82030586,17.08605608,37.57818854,23.71803022,27.52112829,11.2331403,18.77762866,19.70644178,17.72647368,10.25891222,26.8063995,9.952341761,22.73802958,22.43901641,25.32311962,22.4847221,34.25976104,25.97293321,10.71301548,20.83294311,26.806506
Gmppa,661.8020102,643.4919537,656.7266111,527.0549944,711.8337343,950.8449722,624.8690297,588.1714903,579.0863211,583.6864487,568.1576614,569.0795412,750.7814052,669.4850958,676.4794706,561.0076151,561.6570152,742.21048,609.9612931,551.6061515,676.0623151,630.4125676,657.8497904,610.6785088,402.1071741,430.4930335,446.7616521,493.5546825,845.5632702,792.7631456,845.8174904,707.2793505
Gmppb,160.256989,211.6995268,134.713151,129.8116931,206.3416774,370.882072,220.482243,208.9296035,145.475494,121.5611447,177.0628328,186.9390144,289.4578912,191.8465415,242.3363957,163.0097598,175.9858648,207.5422115,184.8651919,102.1879071,232.8773073,242.1819541,183.1230884,160.2489704,119.3755673,103.2404107,88.96129177,148.815837,173.1528881,192.8342787,226.0374328,352.6086558
Gmpr,20.77405413,13.98895552,24.69741102,20.49658312,13.5158304,3.151972284,31.49746329,14.85281541,8.446964166,17.36587781,15.56596333,25.82030586,5.025310611,24.72249246,6.187312232,11.64355427,18.72190051,21.74251739,23.46004974,28.15381114,15.38836832,24.03332369,25.87608858,11.91039645,23.33657707,16.55742437,19.55193226,11.77679286,23.08705175,19.28342787,27.08282605,13.403253
Gmpr2,181.0310432,168.8000632,169.5140483,190.3254147,135.158304,199.6249113,150.374986,145.557591,138.9056329,146.6451904,203.330396,177.6437043,192.9719274,180.9686448,169.1198677,163.0097598,172.2414847,171.9635466,181.111584,149.1109256,163.1167042,182.0986449,192.080196,169.9938402,131.0438559,158.7564807,187.6985497,202.3467137,162.5713227,171.4082477,143.7473075,176.3043279
Gmps,556.9424989,521.3217422,568.0404534,604.1611881,539.7321606,701.8391618,595.4036608,585.2009273,447.6891008,577.8978227,593.4523518,543.2592353,786.9636416,617.0734118,505.2971656,574.7681792,572.8901555,432.8737553,484.2154265,476.5293218,663.7516204,532.4305556,569.2739488,594.4370591,505.3266497,543.4731056,478.0447437,502.1196228,592.5676615,708.1303233,588.5306429,622.7357547
Gne,2617.530821,1937.00404,2533.729848,1835.908231,2163.433919,2233.697692,2006.693225,1925.915065,2005.684714,2481.390985,2010.927887,2356.877519,2355.865614,2522.683131,2619.295511,2433.502843,2340.237564,2406.501357,1782.96378,2563.039547,2320.565943,1871.826172,2117.858327,3227.717437,1997.970022,2005.39628,1936.61889,1957.08885,3374.557397,2740.38936,3415.561023,2688.898755
Gnmt,21177.66433,19998.61081,23089.83408,18427.40425,18866.29713,20716.86316,33718.54247,24831.92699,16480.02709,17136.26232,14806.14974,20061.34484,20468.09012,13425.30231,33343.42562,26101.67317,25717.33863,30337.72983,16355.40827,19903.70174,21725.2984,12332.79249,17148.88009,21204.83673,14027.9755,15662.34948,15245.61918,16521.76976,24818.58063,33049.65276,28946.33281,22088.56094
Gnpda1,740.9412641,737.6842542,560.1821862,778.8701585,784.8192185,571.5576408,523.2643094,877.306297,600.6730073,446.6889681,512.7039171,731.231062,609.067646,602.2399164,799.1944966,826.6923535,807.8500069,705.643519,799.518495,701.7598109,758.1336128,1024.189333,1004.191284,705.9616804,673.1704924,589.2495142,543.5437168,644.5117546,651.2472513,833.4726044,796.8600741,596.9602682
