Gene,GRC362.01_S14,GRC362.02_S9,GRC362.03_S13,GRC362.04_S12,GRC362.09_S20,GRC362.10_S6,GRC362.11_S3,GRC362.12_S17,GRC362.13_S16,GRC362.14_S19,GRC362.15_S11,GRC362.16_S18,GRC362.17_S5,GRC362.18_S15,GRC362.19_S8,GRC362.20_S2,GRC362.21_S10,GRC362.22_S7,GRC362.23_S1,GRC362.24_S4
Slc13a5,40.7565146,52.04532749,42.77932079,32.0965953,54.98526052,38.90603841,42.78746957,24.02439434,43.40042865,36.51078816,37.16133721,23.02004355,47.72540859,36.08994842,25.22682192,6.929314553,9.796968168,9.809243345,8.331816718,8.439541015
Slc14a1,5.316067122,5.102483087,2.950297986,9.318366377,4.488592696,4.631671239,5.834654941,7.007115016,10.60899367,2.60791344,7.078349945,5.755010888,3.818032687,1.031141383,8.732361435,8.909118711,7.619864131,7.13399516,0,3.750907118
Slc15a1,0.886011187,0,0,1.035374042,0,0,0,0,0,0.86930448,0.884793743,0,0,0,1.940524763,0.989902079,1.088552019,5.35049637,0,1.875453559
Slc15a2,14.17617899,12.24595941,17.70178791,14.49523659,11.22148174,10.18967673,15.55907984,8.008131447,15.43126352,11.30095824,13.27190615,19.18336963,16.22663892,7.217989683,10.6728862,12.86872703,14.15117624,6.242245765,12.49772508,8.439541015
Slc16a1,1918.21422,1837.914408,3432.671706,1606.900513,1174.889138,1886.942863,2467.086598,1943.973909,1641.500657,1510.851186,1846.564542,1702.524054,1779.203232,1829.244814,3441.520668,2207.481636,2241.328607,2164.275782,3176.505124,1982.354412
Slc16a10,1215.607349,1330.727589,1420.56848,1759.100497,1560.90811,1773.00375,2095.613566,1887.916989,1653.074105,1674.280429,1966.011697,2015.212979,1416.490127,972.3663245,912.0466387,832.5076484,596.5265063,443.1994493,759.2367985,632.0278494
Slc16a2,3099.267132,3109.453194,3639.192565,3016.044584,3071.319552,3300.528925,3984.096882,3532.586985,2996.558485,3239.028493,3390.529624,2846.812053,2122.826174,2201.486853,2123.904353,2035.238674,1282.314278,930.094619,1726.769015,1272.49524
Slc16a3,3.544044748,7.143476322,4.425446979,3.106122126,3.366444522,1.852668496,8.751982412,1.001016431,0,1.73860896,3.539174973,1.918336963,4.772540859,2.062282767,1.940524763,3.959608316,1.088552019,3.56699758,1.04147709,1.875453559
Slc16a7,2026.307585,1937.923077,3071.260203,2426.916754,1867.254561,2089.810063,2657.685326,2238.272739,2465.144348,2814.807906,2818.068072,2789.261944,2462.631083,1955.044063,2649.786564,2444.068233,2451.419146,2139.306799,2665.139873,1720.72864
Slc17a1,391.6169447,399.0141774,756.7514333,366.5224108,432.027047,409.4397376,594.1623615,347.3527015,434.9687405,404.2265832,544.1481521,429.7074796,445.7553162,423.7991085,456.9935817,392.9911254,449.5719837,426.2562108,317.6505124,278.5048535
Slc17a2,2852.070011,3682.972293,5741.27988,3614.49078,2686.422728,2823.466788,4826.232079,2941.98729,3094.93279,2533.153255,2611.026336,2513.021421,2414.905675,2184.988591,2630.381317,1827.359238,1612.14554,1057.614783,1605.957672,1414.091983
Slc17a3,1224.46746,1299.092194,1196.345833,1097.496484,1261.294547,1119.938106,1224.305095,1178.196339,1152.522494,1030.995113,1047.595792,1091.533732,1144.455298,1172.407753,1099.307278,1082.952874,1138.625412,1032.645799,914.4168848,994.928113
Slc17a4,2051.115898,2294.076396,3279.256211,1979.635168,2464.23739,2488.13379,3593.175001,2705.747413,2293.471541,2480.125682,3140.132995,2540.837307,2367.180266,2336.566375,2383.934672,1928.32925,2002.935714,1865.539734,2391.231398,1693.534564
Slc17a5,572.3632268,461.2644711,641.6898119,486.6257997,466.8136403,475.2094692,567.9064143,524.5326098,500.5516105,525.9292104,550.3417083,553.4402137,523.0704782,454.73335,490.9527651,499.9005499,510.5308968,369.1842495,472.8305988,494.1820128
Slc17a8,311.8759378,310.2309717,365.8369502,301.2938462,159.3450407,247.3312442,348.1344115,258.2622392,222.7888671,216.4568155,342.4151786,278.1588596,378.9397442,543.411509,1329.259463,820.6288235,913.2951437,733.9097521,1429.948044,1148.715305
Slc18a1,23.92230205,13.26645603,10.32604295,14.49523659,21.3208153,11.11601097,19.4488498,14.01423003,20.25353337,18.25539408,18.58066861,16.30586418,22.90819612,16.49826213,28.13760907,18.8081395,29.39090451,13.37624093,29.16135851,27.19407661
Slc18a2,23.92230205,19.38943573,41.3041718,41.41496167,17.95437078,27.79002744,24.31106225,24.02439434,18.32462543,21.732612,24.77422481,29.73422292,26.72622881,14.43597937,32.98892097,17.81823742,16.32828028,17.8349879,17.70511053,15.00362847
Slc19a1,111.6374096,90.82419896,107.6858765,98.36053398,103.237632,123.202455,126.4175237,118.1199388,108.0188446,113.0095824,112.3688054,99.75352206,101.1778662,114.4566935,95.0857134,102.9498162,91.43836957,98.09243345,129.1431591,112.5272135
Slc19a2,2677.525807,2488.99125,3081.586246,2920.790172,2537.177021,2661.358294,3159.465651,3086.133656,3183.662555,3285.970935,2780.906735,3016.584874,2782.391321,2511.86041,2895.262947,2755.887388,2275.073719,1818.277016,2716.17225,1980.478958
Slc19a3,0.886011187,1.020496617,0,1.035374042,1.122148174,0,0,0,0.96445397,0,0,0.959168481,0,2.062282767,0,0.989902079,0,0,2.08295418,0
Slc1a1,0,2.040993235,4.425446979,6.212244251,3.366444522,3.705336991,6.807097431,3.003049293,4.82226985,1.73860896,1.769587486,0.959168481,3.818032687,1.031141383,4.851311908,3.959608316,5.442760094,4.458746975,4.165908359,7.501814236
Slc1a2,3191.412296,3036.997934,3925.37147,3812.247222,2703.254951,3235.685528,3639.852241,3282.332877,3354.370908,3311.180765,4691.176426,3809.817208,2425.405265,1751.90921,1441.809899,1038.407281,814.23691,477.9776757,540.5266096,466.9879362
Slc1a3,1.772022374,2.040993235,4.425446979,3.106122126,1.122148174,4.631671239,3.889769961,3.003049293,2.89336191,0,2.65438123,4.795842407,2.863524516,3.09342415,3.881049526,5.939412474,2.177104037,5.35049637,1.04147709,2.813180338
Slc1a4,210.8706625,156.1359825,151.9403463,170.8367169,133.5356327,172.2981701,161.4254534,234.2378448,199.6419718,180.8153319,182.2675111,196.6295387,155.584832,140.2352281,115.4612234,114.8286412,88.17271352,102.5511804,127.060205,127.530842
Slc1a5,13.29016781,10.20496617,2.950297986,7.247618293,12.34362991,10.18967673,12.64175237,11.01118074,6.751177791,7.823740321,9.732731175,8.632516332,11.45409806,6.1868483,7.762099053,9.89902079,14.15117624,41.02047217,6.248862539,12.19044813
Slc20a1,308.3318931,442.895532,511.8767005,523.8992652,479.1572703,357.5650197,487.1936876,419.4258845,434.9687405,456.384852,637.9362888,480.5434092,467.7090042,369.1486152,514.2390623,439.5165231,355.9565101,485.1116709,817.5595155,672.3501009
Slc20a2,1320.156669,1323.584113,1416.143033,1204.140011,1369.020772,1296.867947,1318.632017,1340.361001,1282.72378,1427.397956,1426.287514,1306.387472,1206.498329,1235.307377,1350.605235,1332.408198,1087.463467,925.6358721,1505.975872,1269.682059
Slc22a1,12895.00682,14268.58371,10820.21786,10300.93634,10590.83447,13003.88017,11869.63304,12210.39842,12126.07977,11274.0098,19438.03374,12989.05957,11963.80543,11233.25423,10068.41273,9971.283642,8646.368685,6910.166062,7952.719058,9705.472168
