Gene,P01_A02,P01_A03,P01_A04,P01_A05,P01_A06,P01_A07,P01_A08,P01_A09,P01_A10,P01_A11,P01_A12,P01_B02,P01_B03,P01_B04,P01_B05,P01_B06,P01_B07,P01_B08,P01_B09,P01_B10
Slc27a6,1.094156874,1.278244556,0,0,0.964847178,0.869909437,0.931284973,0,1.702042645,2.62059115,0.732446901,0,0,2.013071064,1.44352744,2.535944172,0,0.979108707,0.970931246,0
Slc28a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993578016,1.958217413,0,0.813362304
Slc28a2,0,2.556489113,0,0,0,0,0,0,0,0,0,0,0,0,1.44352744,0,0,0,0.970931246,0
Slc28a3,0,2.556489113,0,0,0,0,0,0,0,0,0.732446901,1.001023245,1.243900958,1.006535532,5.774109759,0,0.993578016,0.979108707,0,0
Slc29a1,36.10717683,35.79084758,41.29234709,35.67461203,45.34781736,41.75565297,66.12123305,45.64495544,50.21025803,79.49126487,35.88989816,38.0388833,38.56092969,28.1829949,34.64465855,87.91273131,68.55688309,33.28969603,44.6628373,71.57588279
Slc29a2,0,0,0,0,0,0,0,0,0,0,0,0,2.487801916,1.006535532,0,0.845314724,0,0,0,0.813362304
Slc29a3,14.22403936,11.50420101,20.64617355,21.86508479,22.19148509,16.5282793,9.312849725,4.564495544,11.06327719,1.747060766,12.45159732,15.01534867,14.92681149,8.052284256,8.661164638,21.1328681,11.92293619,14.6866306,13.59303744,13.01379687
Slc29a4,0,0,0,0,0,0,0.931284973,0,0,0,0,1.001023245,1.243900958,0,0,0,0,0.979108707,0,0
Slc2a1,6.564941241,8.947711894,1.876924868,8.055557556,4.82423589,11.30882268,3.72513989,2.738697326,3.40408529,2.62059115,3.662234506,9.009209203,3.731702873,2.013071064,1.44352744,2.535944172,0.993578016,4.895543534,5.825587474,12.20043457
Slc2a13,4.376627494,2.556489113,3.753849736,8.055557556,5.789083068,4.349547184,2.793854918,4.564495544,3.40408529,3.494121533,2.197340703,5.005116224,8.707306704,2.013071064,2.887054879,4.226573621,7.948624126,4.895543534,0.970931246,6.506898436
Slc2a2,17.50650998,23.00840201,32.84618519,29.92064235,25.08602663,24.35746423,40.04525382,28.29987237,32.33881026,37.56180648,25.63564154,21.02148814,18.65851437,22.1437817,28.87054879,12.67972086,35.76880857,23.49860896,19.41862491,29.28104296
Slc2a3,2.188313747,1.278244556,1.876924868,1.150793937,2.894541534,1.739818874,5.587709835,0,1.702042645,3.494121533,5.859575209,0,3.731702873,6.039213192,5.774109759,1.690629448,0,2.93732612,1.941862491,1.626724609
Slc2a4,0,0,0.938462434,0,0.964847178,0,0,0,0.851021323,0,0,0,0,1.006535532,0,0,1.987156032,0,0,0
Slc2a5,0,0,0,0,0,0,0.931284973,0,0.851021323,0.873530383,0,0,0,0,0,0,0.993578016,0.979108707,0,0.813362304
Slc2a8,52.51952993,49.8515377,61.93852064,70.19843013,54.03144197,69.59275495,44.70167868,67.55453405,61.27353523,80.36479525,79.83671223,62.06344118,63.43894885,39.25488575,57.74109759,32.96727424,40.73669865,32.31058732,46.60469979,60.18881053
Slc2a9,76.59098115,89.47711894,60.06159577,89.76192705,67.53930246,66.98302664,69.84637294,45.64495544,74.03885507,67.26183951,63.7228804,55.05627847,43.53653352,47.30717001,30.31407623,48.18293928,40.73669865,44.0598918,39.80818107,111.4306357
Slc30a1,344.6594152,354.0737421,358.4926497,426.9445505,396.5521901,385.3698805,357.6134294,405.3272043,424.65964,456.8563904,500.9936804,406.4154374,307.2435366,274.7842002,210.7550062,391.3807173,281.1825785,263.3802421,330.1166235,265.1561113
